pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,st_rad,pl_radj,pl_orbper,st_vsini,pl_tranflag,pl_rvflag,ra,dec,pl_cbflag
Kepler-128,0.0,1.09,0.00242,0.0,0,400.93,2,1.61,0.128,15.09,0.0,1,0,282.492224,43.980213,0
Kepler-128,0.0,1.09,0.00283,0.0,0,400.93,2,1.61,0.12,22.804,0.0,1,0,282.492224,43.980213,0
Kepler-129,0.0,0.0,0.0,0.131,0,413.68,2,1.64,0.211,15.79186,0.0,1,0,285.311284,47.848595,0
Kepler-129,0.0,0.0,0.0,0.393,0,413.68,2,1.64,0.227,82.20017,0.0,1,0,285.311284,47.848595,0
Kepler-130,0.0,0.0,0.0,0.079,0,319.57,3,1.13,0.091,8.457458,0.0,1,0,288.450665,40.245305,0
Kepler-130,0.0,0.0,0.0,0.178,0,319.57,3,1.13,0.259,27.50868,0.0,1,0,288.450665,40.245305,0
Kepler-130,0.0,0.0,0.0,0.377,0,319.57,3,1.13,0.146,87.517905,0.0,1,0,288.450665,40.245305,0
Kepler-131,0.0,1.02,0.051,0.0,0,230.19,2,1.03,0.215,16.092,0.4,1,1,288.530825,40.942304,0
Kepler-131,0.0,1.02,0.026,0.0,0,230.19,2,1.03,0.075,25.5169,0.4,1,1,288.530825,40.942304,0
Kepler-132,0.0,0.0,0.0,0.067,0,303.0,4,1.18,0.108,6.178196,0.0,1,0,283.23581,41.343037,0
Kepler-132,0.0,0.0,0.0,0.068,0,303.0,4,1.18,0.114,6.414914,0.0,1,0,283.23581,41.343037,0
Kepler-132,0.0,0.0,0.0,0.136,0,303.0,4,1.18,0.138,18.010199,0.0,1,0,283.23581,41.343037,0
Kepler-133,0.0,0.0,0.0,0.083,0,665.37,2,1.43,0.157,8.129976,0.0,1,0,297.277976,48.320328,0
Kepler-133,0.0,0.0,0.0,0.204,0,665.37,2,1.43,0.253,31.517586,0.0,1,0,297.277976,48.320328,0
Kepler-134,0.0,0.0,0.0,0.06,0,338.05,2,1.18,0.178,5.317429,0.0,1,0,284.739001,49.598396,0
Kepler-134,0.0,0.0,0.0,0.092,0,338.05,2,1.18,0.112,10.105785,0.0,1,0,284.739001,49.598396,0
Kepler-135,0.0,0.0,0.0,0.067,0,632.99,2,1.27,0.161,6.00253,0.0,1,0,290.495129,38.795481,0
Kepler-135,0.0,0.0,0.0,0.103,0,632.99,2,1.27,0.103,11.448708,0.0,1,0,290.495129,38.795481,0
Kepler-196,0.0,0.0,0.0,0.24,0,457.26,2,0.78,0.2,47.427737,0.0,1,0,284.968519,42.079205,0
Kepler-197,0.0,0.0,0.0,0.06,0,333.75,4,1.12,0.091,5.599308,0.0,1,0,295.226435,50.559006,0
Kepler-197,0.0,0.0,0.0,0.09,0,333.75,4,1.12,0.11,10.349695,0.0,1,0,295.226435,50.559006,0
Kepler-197,0.0,0.0,0.0,0.119,0,333.75,4,1.12,0.109,15.677563,0.0,1,0,295.226435,50.559006,0
Kepler-197,0.0,0.0,0.0,0.164,0,333.75,4,1.12,0.081,25.209715,0.0,1,0,295.226435,50.559006,0
Kepler-198,0.0,0.0,0.0,0.131,0,502.52,3,0.94,0.252,17.790037,0.0,1,0,290.67313,38.691011,0
Kepler-198,0.0,0.0,0.0,0.259,0,502.52,3,0.94,0.22,49.567416,0.0,1,0,290.67313,38.691011,0
Kepler-199,0.0,0.0,0.0,0.158,0,528.99,2,0.97,0.277,23.637604,0.0,1,0,295.559419,40.236271,0
Kepler-199,0.0,0.0,0.0,0.316,0,528.99,2,0.97,0.29,67.093408,0.0,1,0,295.559419,40.236271,0
Kepler-200,0.0,0.0,0.0,0.08,0,678.93,2,0.94,0.19,8.594805,0.0,1,0,284.40992,41.237465,0
Kepler-200,0.0,0.0,0.0,0.09,0,678.93,2,0.94,0.142,10.222157,0.0,1,0,284.40992,41.237465,0
Kepler-201,0.0,0.0,0.0,0.175,0,648.18,2,1.23,0.219,25.672083,0.0,1,0,293.62604,41.272827,0
Kepler-201,0.0,0.0,0.0,0.573,0,648.18,2,1.23,0.254,151.884058,0.0,1,0,293.62604,41.272827,0
Kepler-202,0.0,0.0,0.0,0.045,0,287.48,2,0.67,0.145,4.069427,0.0,1,0,282.973419,41.322006,0
Kepler-202,0.0,0.0,0.0,0.113,0,287.48,2,0.67,0.165,16.282493,0.0,1,0,282.973419,41.322006,0
Kepler-203,0.0,0.0,0.0,0.043,0,717.73,3,1.11,0.229,3.162697,0.0,1,0,297.089977,41.388039,0
Kepler-203,0.0,0.0,0.0,0.061,0,717.73,3,1.11,0.22,5.370647,0.0,1,0,297.089977,41.388039,0
Kepler-203,0.0,0.0,0.0,0.1,0,717.73,3,1.11,0.128,11.32972,0.0,1,0,297.089977,41.388039,0
HD 38801,0.017,1.21,9.698,1.623,K0,91.68,1,2.03,0.0,685.25,0.0,0,1,86.996567,-8.3277,0
HD 39091,0.637,1.09,10.02,3.1,G0 V,18.28,2,1.1,0.0,2093.07,3.14,0,1,84.291214,-80.469124,0
HD 40307,0.2,0.77,0.0126,0.0468,K3 V,12.94,5,0.0,0.0,4.3123,1.61,0,1,88.51767,-60.023472,0
HD 40307,0.06,0.77,0.0208,0.0799,K3 V,12.94,5,0.0,0.0,9.6184,1.61,0,1,88.51767,-60.023472,0
HD 40307,0.07,0.77,0.0299,0.1321,K3 V,12.94,5,0.0,0.0,20.432,1.61,0,1,88.51767,-60.023472,0
HD 40307,0.02,0.77,0.0164,0.247,K3 V,12.94,5,0.0,0.0,51.76,1.61,0,1,88.51767,-60.023472,0
HD 40307,0.29,0.77,0.0223,0.6,K3 V,12.94,5,0.0,0.0,197.8,1.61,0,1,88.51767,-60.023472,0
HD 40979,0.25,1.45,4.67,0.85,F8 V,34.12,1,1.21,0.0,264.14999,7.4,0,1,91.124763,44.260445,0
HD 41004 A,0.74,0.7,2.54,0.0,K1/K2 V,43.03,1,0.0,0.0,963.0,1.22,0,1,89.956871,-48.239693,0
HD 41004 B,0.081,0.4,18.37,0.0,M2 V,43.03,1,0.0,0.0,1.3283,0.0,0,1,89.956886,-48.239841,0
HD 43197,0.83,0.96,0.6,0.92,G8 V,56.3,1,1.0,0.0,327.8,2.18,0,1,93.39859,-29.89727,0
HD 43691,0.0796,1.32,2.55,0.238,G0,85.81,1,1.6,0.0,36.9987,4.7,0,1,94.894485,41.092304,0
HD 44219,0.61,1.0,0.58,1.19,G2 V,50.4,1,1.32,0.0,472.3,2.22,0,1,95.059677,-10.725009,0
HD 45364,0.1684,0.82,0.1872,0.6813,K0 V,34.39,2,0.0,0.0,226.93,1.0,0,1,96.410316,-31.480953,0
HD 45364,0.0974,0.82,0.6579,0.8972,K0 V,34.39,2,0.0,0.0,342.85,1.0,0,1,96.410316,-31.480953,0
HD 45350,0.778,1.02,1.79,1.92,G5 V,46.94,1,0.0,0.0,963.6,1.4,0,1,97.19046,38.962963,0
HD 45652,0.607,0.92,0.433,0.237,G8/K0,34.89,1,0.94,0.0,44.073,2.0,0,1,97.304962,10.933891,0
HD 46375,0.063,0.92,0.226,0.0398,K1 IV-V,29.58,1,0.0,0.0,3.023573,0.9,0,1,98.302597,5.462925,0
HD 148427,0.16,1.64,1.3,1.04,K0 III/IV,71.5,1,3.86,0.0,331.5,2.1,0,1,247.117294,-13.39964,0
HD 149026,0.0,1.42,0.38,0.0,G0,76.03,1,1.41,0.74,2.87589,6.0,1,1,247.623413,38.347309,0
HD 149143,0.0167,1.2,1.33,0.053,G0,73.43,1,1.44,0.0,4.07182,0.0,0,1,248.212708,2.084832,0
HD 150706,0.38,1.17,2.71,6.7,G0 V,28.29,1,0.96,0.0,5894.0,3.7,0,1,247.823273,79.789772,0
HD 152079,0.532,1.15,2.661,4.187,G6 V,88.11,1,1.13,0.0,2918.92,1.8,0,1,253.373901,-46.332958,0
HD 152581,0.04,1.3,1.869,1.66,K0,166.54,1,5.14,0.0,686.5,0.5,0,1,253.431595,11.973746,0
