pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,pl_radj,pl_orbper
HD 180314,0.26,2.2,20.13,1.46,K0,122.79,1,0.0,396.03
HD 180902,0.107,1.41,1.685,1.4,K0 III/IV,104.89,1,0.0,510.9
HD 181342,0.022,1.69,2.54,1.592,K0 III,120.81,1,0.0,564.1
HD 181433,0.4,0.63,0.02,0.08,K3 IV,26.9,3,0.0,9.3743
HD 181433,0.28,0.63,0.64,1.76,K3 IV,26.9,3,0.0,962.0
HD 181433,0.48,0.63,0.54,3.0,K3 IV,26.9,3,0.0,2172.0
HD 181720,0.26,1.03,0.4,1.85,G1 V,60.31,1,0.0,956.0
HD 183263,0.36,1.31,3.95,1.49,G2 IV,54.28,2,0.0,626.51599
HD 212301,0.0,1.55,0.51,0.03,F8 V,54.32,1,0.0,2.24571
HD 213240,0.42,1.57,5.58,1.89,G0/1 V,40.92,1,0.0,882.70001
HD 215497,0.16,0.67,0.02,0.05,K3 V,40.59,2,0.0,3.93404
HD 215497,0.49,0.67,0.33,1.282,K3 V,40.59,2,0.0,567.94
HD 216435,0.07,1.3,1.26,2.56,G0 V,33.01,1,0.0,1311.0
HD 216437,0.317,1.17,2.223,2.497,G2/3 IV,26.71,1,0.0,1334.28
HD 216536,0.38,0.81,1.05,0.61,K0,380.33,1,0.0,148.60001
HD 216770,0.37,0.74,0.57,0.46,K0 V,36.7,1,0.0,118.45
HD 217107,0.13,1.0,1.3,0.08,G8 IV,20.07,2,0.0,7.12682
HD 217107,0.517,1.0,2.6,5.32,G8 IV,20.07,2,0.0,4270.0
Kepler-84,0.0,0.0,0.0,0.052,0,1443.27,5,0.123,4.224537
Kepler-84,0.0,0.0,0.0,0.181,0,1443.27,5,0.232,27.434389
Kepler-84,0.0,0.0,0.0,0.25,0,1443.27,5,0.196,44.552169
Kepler-85,0.0,0.0,0.0,0.0,0,782.09,4,0.176,8.306
Kepler-85,0.0,0.0,0.0,0.0,0,782.09,4,0.194,12.513
Kepler-85,0.0,0.0,0.0,0.13,0,782.09,4,0.107,17.91323
Kepler-85,0.0,0.0,0.0,0.163,0,782.09,4,0.113,25.216751
